StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,screener_1,screener_2,SC_age,SC_region,prolific_id,SC_gender,SC_ethnicity,SC_ethnicity_10_TEXT,SC_ethnicity_11_TEXT,SC_education,SC_education_8_TEXT,polknowledge_1,polknowledge_2,polknowledge_3,polknowledge_4,polknowledge_5,polknowledge_6,B01,B02,B02_11_TEXT,pid1,surveystatus,state,sourcetag
2021-06-17 14:06:00,2021-06-17 14:06:00,Survey Test,,100,0,True,2021-06-17 14:06:00,R_9WDR3ggsNhL8WX4,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Don't know,Don't Know,Tincidunt nunc ab elit faucibus. Cursus! Pharetra tempus eu ut.,Northern Ireland,"Luctus aliquam porta. Aliquam maecenas vitae, proin. Aenean praesent! Justo turpis metus sed viverra? Eu.",Other,Other,,"Ridiculus cursus fermentum, nonummy. Id ultricies vestibulum, urna sem fermentum.","GCSE D-G, CSE grades 2-5, O level D-E",,True,,,,True,True,"No, I did not vote.",Other,Amet ipsum nullam at! Morbi eu nonummy per integer vivamus tortor laoreet.,None,complete,,
2021-06-17 14:06:00,2021-06-17 14:06:00,Survey Test,,100,0,True,2021-06-17 14:06:00,R_9S7RaGSy9KRZH1Q,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Strongly dissaprove,Barack Obama,Diam! Sollicitudin nunc tellus. Aliquam non nibh! Etiam nullam commodo! Elit cursus? Consectetuer ultricies ac.,Northern Ireland,Venenatis? Dolorem. Vitae aliquam pellentesque! Et! Vestibulum iaculis elementum. Justo pretium neque ante! Duis phasellus.,Other,Asian-other origin,,,First degree or equivalent,,,,True,False,False,False,Don’t know,Brexit Party,,Conservative,complete,,
2021-06-17 14:06:00,2021-06-17 14:06:00,Survey Test,,100,0,True,2021-06-17 14:06:00,R_8nZjcXzY5DEQJNQ,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Somewhat approve,Nancy Pelosi,Luctus vitae ab pede proin vivamus vulputate turpis duis mi.,England,Morbi! Nibh pharetra egestas wisi dignissim suspendisse justo felis! Risus sodales ultricies malesuada rhoncus.,Prefer not to say,White-British,,,"GCSE A* -C, CSE grade 1, O level grade A-C",,True,,False,False,,True,"Yes, I voted.","Labour Party ",,Green,complete,,
2021-06-17 14:06:00,2021-06-17 14:06:00,Survey Test,,100,0,True,2021-06-17 14:06:00,R_6CYCu4e3J27aBIG,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Somewhat dissaprove,Barack Obama,Wisi atque diam dolorem dignissim iaculis ultrices non ut. Urna urna diam ipsum.,Other,Blandit faucibus in. Diam quis tempor justo eros et sed.,Man,White-Irish,,,"GCSE A* -C, CSE grade 1, O level grade A-C",,,False,False,True,True,,Prefer not to say,Other,At wisi sem. Tempus. Facilisi suscipit in? Fermentum egestas iaculis proin.,Liberal Democrat,complete,,
2021-06-17 14:06:01,2021-06-17 14:06:01,Survey Test,,100,0,True,2021-06-17 14:06:01,R_6gSWzjudz2YD2yW,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Don't know,George W Bush,Ac auctor per dolor mauris rhoncus faucibus. Dolorem purus dui sem. Blandit curabitur aliquam quis.,Other,"Sapien ullamcorper, eu amet scelerisque dapibus. Suspendisse turpis iaculis wisi! Egestas porttitor. Eleifend vehicula.",Man,White-British,,,"GCSE A* -C, CSE grade 1, O level grade A-C",,False,False,,,True,False,Prefer not to say,Plaid Cymru,,Conservative,complete,,
2021-06-17 14:06:01,2021-06-17 14:06:01,Survey Test,,100,0,True,2021-06-17 14:06:01,R_8pPhxQEkXGVNhOu,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Strongly approve,Barack Obama,Nonummy blandit risus felis rutrum urna tellus leo rhoncus gravida! Sem pede? Interdum.,Other,"Turpis tempora curabitur natoque sagittis faucibus, bibendum, turpis. Venenatis duis lectus sollicitudin luctus.",Woman,White-other origin,,,Postgraduate degree,,,False,,False,,,"Yes, I voted.",Green Party,,Conservative,complete,,
2021-06-17 14:06:01,2021-06-17 14:06:01,Survey Test,,100,0,True,2021-06-17 14:06:01,R_8wsGLeeT0AlZJNc,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Strongly dissaprove,George W Bush,"Tellus proin turpis mi maecenas lorem cras ultrices egestas diam eros? Curabitur, maecenas.",Northern Ireland,"Scelerisque tellus accumsan vivamus risus tempora ridiculus lacus! Tempora, sagittis.",Woman,White-Irish,,,"GCSE A* -C, CSE grade 1, O level grade A-C",,,False,False,True,,,Don’t know,Prefer not to say,,Labour,complete,,
2021-06-17 14:06:01,2021-06-17 14:06:01,Survey Test,,100,0,True,2021-06-17 14:06:01,R_6VRSTOdlv4S2WFw,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Somewhat dissaprove,George W Bush,Nullam facilisis tempus aliquam eros convallis donec consequat maecenas magnis mauris. Magnis nibh.,England,Ullamcorper commodo fringilla pretium orci nibh. Lacus auctor! Molestie purus sed fusce mauris eget.,Prefer not to say,Black-Caribbean origin,,,Other qualification,In! At. Tempus porttitor morbi? At sodales felis. Fermentum blandit! Lorem.,False,True,,,True,True,"No, I did not vote.","Labour Party ",,Conservative,complete,,
2021-06-17 14:06:01,2021-06-17 14:06:01,Survey Test,,100,0,True,2021-06-17 14:06:01,R_bgzDV7sJeYqrU7I,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Strongly dissaprove,Mike Pence,Accumsan laoreet accusamus ultricies quam. Non cursus dignissim ultricies dolorem primis fermentum.,Other,Molestie wisi donec suscipit fermentum neque metus porta! Mauris urna.,Other,Asian-Chinese origin,,,"GCSE A* -C, CSE grade 1, O level grade A-C",,True,,,True,False,,"No, I did not vote.",Don't remember/Don't know,,Prefer not to say,complete,,
2021-06-17 14:06:01,2021-06-17 14:06:01,Survey Test,,100,0,True,2021-06-17 14:06:01,R_73NCBEjmycwA0Oa,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Somewhat dissaprove,Barack Obama,Accusamus dapibus faucibus curabitur in. Duis leo mauris amet. Tincidunt metus fringilla ab.,Wales,Dapibus eget integer rhoncus rhoncus atque tellus rhoncus consequat quam vulputate ante? Pellentesque temporibus! Temporibus.,Prefer not to say,Black-African origin,,,Other qualification,Orci nullam tortor vulputate dolor purus ut orci? Velit malesuada facilisi! Tempus.,False,True,False,False,True,False,"Yes, I voted.",Scottish National Party,,Conservative,complete,,
2021-06-17 14:06:02,2021-06-17 14:06:02,Survey Test,,100,0,True,2021-06-17 14:06:02,R_1EOYSXm6lCNK1N4,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Strongly approve,Don't Know,Risus justo interdum atque enim vitae quis venenatis fermentum. Quam! Suscipit.,England,"Tempora tempor nibh a justo? Diam laoreet bibendum massa in. Laoreet. Egestas dignissim, gravida suspendisse.",Woman,Asian-other origin,,,A level or equivalent,,True,True,True,False,False,False,Prefer not to say,Don't remember/Don't know,,Green,complete,,
2021-06-17 14:06:02,2021-06-17 14:06:02,Survey Test,,100,0,True,2021-06-17 14:06:02,R_0e7uxVv2JcWlqES,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Don't know,Mike Pence,Maecenas donec montes ultrices per malesuada fermentum risus ac eros dolor ridiculus? Pretium.,England,Est purus malesuada risus malesuada erat amet praesent gravida gravida rutrum.,Other,White-other origin,,,"GCSE A* -C, CSE grade 1, O level grade A-C",,True,False,,,,False,"Yes, I voted.",Don't remember/Don't know,,SNP,complete,,
2021-06-17 14:06:02,2021-06-17 14:06:02,Survey Test,,100,0,True,2021-06-17 14:06:02,R_eKhYDu28793uYdg,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Somewhat approve,Nancy Pelosi,Magna nonummy integer sapien phasellus rutrum arcu fermentum nibh risus quis accusamus praesent vivamus.,Northern Ireland,Laoreet euismod ab bibendum? Natoque dapibus sollicitudin aliquam gravida pellentesque.,Man,Black-African origin,,,First degree or equivalent,,True,False,True,True,,False,"No, I did not vote.",Brexit Party,,None,complete,,
2021-06-17 14:06:02,2021-06-17 14:06:02,Survey Test,,100,0,True,2021-06-17 14:06:02,R_d4H1JEdCjhIehfM,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Strongly dissaprove,Don't Know,Tortor mauris dui arcu sapien ipsum risus laoreet a praesent.,Other,"Venenatis ante! Ac natoque? Sed aliquet arcu pellentesque dapibus, etiam! Vel, ante.",Other,White-Irish,,,City&Guilds,,True,,,True,False,,"Yes, I voted.",Brexit Party,,Green,complete,,
2021-06-17 14:06:02,2021-06-17 14:06:02,Survey Test,,100,0,True,2021-06-17 14:06:02,R_3pKCgR0a2n8lFJ4,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Somewhat approve,Don't Know,Sed eleifend? Nunc nibh tortor tempus sollicitudin. Mauris consectetuer! Iaculis curabitur et primis mauris convallis.,Wales,Eleifend ipsum laoreet. Per sit tempora et urna. Curabitur mattis fusce neque diam pede.,Other,Black-Caribbean origin,,,City&Guilds,,True,True,,,True,False,"No, I did not vote.",Liberal Democrats,,Green,complete,,
2021-06-17 14:06:02,2021-06-17 14:06:02,Survey Test,,100,0,True,2021-06-17 14:06:02,R_a5HvXf6dPzrFwWO,,,,,51.5290069580078125,-0.05999755859375,test,,I agree,Strongly dissaprove,Don't Know,"Posuere vivamus proin aliquet, culpa, primis euismod vel suscipit lorem vulputate primis.",Scotland,Fusce primis arcu blandit tortor ligula euismod accumsan purus id tempor molestie.,Woman,Asian-Indian origin,,,Other qualification,Volutpat eu mattis augue rutrum facilisis? Tempus ridiculus cursus lectus! Neque mattis lacus.,True,False,True,False,True,,"Yes, I voted.",Prefer not to say,,Labour,complete,,
2021-06-17 14:06:03,2021-06-17 14:06:03,Survey Test,,100,0,True,2021-06-17 14:06:03,R_0cUKrxjG4jOvGeO,,,,,51.5290069580078125,-0.05999755859375,test,,I disagree,Strongly approve,George W Bush,"Eleifend dolor molestie id! Augue justo risus porta, fusce odio.",England,"Volutpat integer dolor, euismod fringilla facilisi suspendisse integer etiam tincidunt maecenas ante fusce facilisis.",Prefer not to say,Prefer not to say,,,Other qualification,"Integer diam justo elit lectus tellus pellentesque mattis suspendisse, fringilla tincidunt porta dictumst.",False,,True,,,False,"Yes, I voted.","Labour Party ",,Green,complete,,
2021-06-17 14:03:04,2021-06-17 14:06:04,IP Address,188.220.25.212,100,180,True,2021-06-17 14:06:06,R_3Rmy2aPqSVz1Lov,,,,,54.011993408203125,-1.043701171875,anonymous,EN,I agree,Somewhat approve,Barack Obama,45,England,5ef75c391fb3f546c2a1a58c,Woman,White-British,,,First degree or equivalent,,,False,False,,True,False,"Yes, I voted.",Conservative Party,,Liberal Democrat,complete,,
